,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,id
0,,,,,,,,,"id    1283551847047929862
Name: 0, dtype: object"
1,,,,,,,,,"id    1283546898197078016
Name: 1, dtype: object"
2,,,,,,,,,"id    1283543871226548225
Name: 2, dtype: object"
3,,,,,,,,,"id    1283537526955835393
Name: 3, dtype: object"
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"id    1283534073043062786
Name: 4, dtype: object"
5,,,,,,,,,"id    1283531831288016896
Name: 5, dtype: object"
6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"id    1283524150112460806
Name: 6, dtype: object"
7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"id    1283523146998480897
Name: 7, dtype: object"
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"id    1283509820411142145
Name: 8, dtype: object"
9,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,"id    1283500429201022976
Name: 9, dtype: object"
10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"id    1283489804034899970
Name: 10, dtype: object"
11,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,"id    1283489055389315073
Name: 11, dtype: object"
12,,,,,,,,,"id    1283488751277105153
Name: 12, dtype: object"
13,,,,,,,,,"id    1283486912897003520
Name: 13, dtype: object"
14,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,"id    1283478553414311937
Name: 14, dtype: object"
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1283478447982022656
Name: 15, dtype: object"
16,,,,,,,,,"id    1283465009155190784
Name: 16, dtype: object"
17,,,,,,,,,"id    1283463796116254720
Name: 17, dtype: object"
18,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,"id    1283445916427366402
Name: 18, dtype: object"
19,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,"id    1283441102242996224
Name: 19, dtype: object"
20,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,"id    1283440779680256001
Name: 20, dtype: object"
21,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,"id    1283440215709888512
Name: 21, dtype: object"
22,0.2,0.0,0.0,0.2,0.0,0.4,0.0,0.2,"id    1283432096439177217
Name: 22, dtype: object"
23,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,"id    1283417546943848448
Name: 23, dtype: object"
24,,,,,,,,,"id    1283412001293828096
Name: 24, dtype: object"
25,,,,,,,,,"id    1283403901618847748
Name: 25, dtype: object"
26,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,"id    1283403398210031617
Name: 26, dtype: object"
27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1283403060769849345
Name: 27, dtype: object"
