,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,id
0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,"id    1283515060522897408
Name: 0, dtype: object"
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1283503150582947840
Name: 1, dtype: object"
2,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.3333333333333333,"id    1283495403460206593
Name: 2, dtype: object"
3,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.3333333333333333,"id    1283488668200636417
Name: 3, dtype: object"
4,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.0,"id    1283481053798293504
Name: 4, dtype: object"
5,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.0,"id    1283479885982437386
Name: 5, dtype: object"
6,,,,,,,,,"id    1283445788224430081
Name: 6, dtype: object"
7,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,"id    1283433688416563200
Name: 7, dtype: object"
8,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,"id    1283418854740426752
Name: 8, dtype: object"
9,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,"id    1283262021149036545
Name: 9, dtype: object"
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"id    1283261880241455104
Name: 10, dtype: object"
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1283253106072080385
Name: 11, dtype: object"
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1283251549674905600
Name: 12, dtype: object"
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"id    1283243892788170752
Name: 13, dtype: object"
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"id    1283226146029502464
Name: 14, dtype: object"
15,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,"id    1283220514870382592
Name: 15, dtype: object"
16,,,,,,,,,"id    1283200449361989633
Name: 16, dtype: object"
17,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,"id    1283199700779270144
Name: 17, dtype: object"
18,,,,,,,,,"id    1283167812530429959
Name: 18, dtype: object"
19,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,"id    1283131105197998080
Name: 19, dtype: object"
20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"id    1283126876903538695
Name: 20, dtype: object"
21,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,"id    1283118722635489280
Name: 21, dtype: object"
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1283059809512828930
Name: 22, dtype: object"
23,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,"id    1282999364445786156
Name: 23, dtype: object"
24,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,"id    1282986094741655553
Name: 24, dtype: object"
25,,,,,,,,,"id    1282923757112381442
Name: 25, dtype: object"
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1282878251627474944
Name: 26, dtype: object"
27,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,"id    1282876886020960261
Name: 27, dtype: object"
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1282853956104925185
Name: 28, dtype: object"
29,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,"id    1282850489915379712
Name: 29, dtype: object"
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1282844441146011648
Name: 30, dtype: object"
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1282812654197841920
Name: 31, dtype: object"
32,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,"id    1282794426683789312
Name: 32, dtype: object"
33,,,,,,,,,"id    1282793836834676737
Name: 33, dtype: object"
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1282788168144756737
Name: 34, dtype: object"
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1282784128283422725
Name: 35, dtype: object"
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1282775847988953088
Name: 36, dtype: object"
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1282768876690964485
Name: 37, dtype: object"
38,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,"id    1282748004022341633
Name: 38, dtype: object"
39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1282747824061456391
Name: 39, dtype: object"
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1282731364844859392
Name: 40, dtype: object"
41,,,,,,,,,"id    1282719053237420033
Name: 41, dtype: object"
