,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,id
0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,"id    1283451464329891842
Name: 0, dtype: object"
1,,,,,,,,,"id    1283180414564278274
Name: 1, dtype: object"
2,,,,,,,,,"id    1283160657693745154
Name: 2, dtype: object"
3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"id    1283145849309220871
Name: 3, dtype: object"
4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"id    1283081262714871808
Name: 4, dtype: object"
5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"id    1282850105985576960
Name: 5, dtype: object"
6,,,,,,,,,"id    1282477053250605056
Name: 6, dtype: object"
7,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.2857142857142857,"id    1281575811578036224
Name: 7, dtype: object"
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1281478492903731200
Name: 8, dtype: object"
9,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.25,"id    1281209871937998856
Name: 9, dtype: object"
10,,,,,,,,,"id    1280779043290222592
Name: 10, dtype: object"
11,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.25,"id    1280501055604875274
Name: 11, dtype: object"
12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1280328253748776960
Name: 12, dtype: object"
13,,,,,,,,,"id    1280148735146831878
Name: 13, dtype: object"
14,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,"id    1280089516355866624
Name: 14, dtype: object"
15,,,,,,,,,"id    1279784014019276800
Name: 15, dtype: object"
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"id    1279445338542178305
Name: 16, dtype: object"
17,,,,,,,,,"id    1279268415090409474
Name: 17, dtype: object"
18,,,,,,,,,"id    1278979744797798401
Name: 18, dtype: object"
19,0.14285714285714285,0.14285714285714285,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.0,"id    1278913022182879235
Name: 19, dtype: object"
20,0.14285714285714285,0.14285714285714285,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.0,"id    1278864546292252672
Name: 20, dtype: object"
21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1278810312528080896
Name: 21, dtype: object"
22,0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.0,"id    1338321662228520960
Name: 22, dtype: object"
23,,,,,,,,,"id    1338035554399752192
Name: 23, dtype: object"
24,,,,,,,,,"id    1337149475677204485
Name: 24, dtype: object"
25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.25,"id    1337106688676081670
Name: 25, dtype: object"
26,0.0,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,"id    1336881698009731077
Name: 26, dtype: object"
27,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,"id    1336751052478181379
Name: 27, dtype: object"
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1336257728155693058
Name: 28, dtype: object"
29,,,,,,,,,"id    1336030808423890944
Name: 29, dtype: object"
30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"id    1335312058410278912
Name: 30, dtype: object"
31,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"id    1335296470040383488
Name: 31, dtype: object"
32,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,"id    1335270211130433538
Name: 32, dtype: object"
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1335211217233858563
Name: 33, dtype: object"
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1335041884838907904
Name: 34, dtype: object"
35,,,,,,,,,"id    1239313038899118080
Name: 35, dtype: object"
36,,,,,,,,,"id    1239283523149688832
Name: 36, dtype: object"
37,,,,,,,,,"id    1238959717407502342
Name: 37, dtype: object"
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1238952179056050176
Name: 38, dtype: object"
39,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,"id    1238680783998668801
Name: 39, dtype: object"
40,,,,,,,,,"id    1238679956995166209
Name: 40, dtype: object"
41,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"id    1238118808297988096
Name: 41, dtype: object"
42,0.11538461538461539,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.19230769230769232,0.15384615384615385,0.07692307692307693,"id    1236864102225661953
Name: 42, dtype: object"
43,,,,,,,,,"id    1235714323915378689
Name: 43, dtype: object"
44,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,"id    1234812730751823873
Name: 44, dtype: object"
45,,,,,,,,,"id    1234778816075182081
Name: 45, dtype: object"
46,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,"id    1234571966759260170
Name: 46, dtype: object"
47,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1234462342332719105
Name: 47, dtype: object"
48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1234455995000197120
Name: 48, dtype: object"
49,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,"id    1234379506229633024
Name: 49, dtype: object"
50,,,,,,,,,"id    1234194824678576130
Name: 50, dtype: object"
