,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,id
0,,,,,,,,,"id    1206355257971707904
Name: 0, dtype: object"
1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,"id    1206336286836977664
Name: 1, dtype: object"
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206330507107164161
Name: 2, dtype: object"
3,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,"id    1206290490972364807
Name: 3, dtype: object"
4,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,"id    1206277754636910597
Name: 4, dtype: object"
5,,,,,,,,,"id    1206275157481971718
Name: 5, dtype: object"
6,,,,,,,,,"id    1206251008143347713
Name: 6, dtype: object"
7,0.1875,0.0625,0.1875,0.1875,0.0625,0.1875,0.0625,0.0625,"id    1206212857450221569
Name: 7, dtype: object"
8,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,"id    1206199810589646850
Name: 8, dtype: object"
9,0.3333333333333333,0.16666666666666666,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,"id    1206146846642647043
Name: 9, dtype: object"
10,,,,,,,,,"id    1206076883332452352
Name: 10, dtype: object"
11,,,,,,,,,"id    1206059157150928897
Name: 11, dtype: object"
12,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.4,"id    1206047816360976385
Name: 12, dtype: object"
13,,,,,,,,,"id    1206006967820533761
Name: 13, dtype: object"
14,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,"id    1206001101385994241
Name: 14, dtype: object"
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1205975674944737280
Name: 15, dtype: object"
16,,,,,,,,,"id    1205932729507991557
Name: 16, dtype: object"
17,,,,,,,,,"id    1205918578882596865
Name: 17, dtype: object"
18,,,,,,,,,"id    1205918213881491456
Name: 18, dtype: object"
19,,,,,,,,,"id    1205893649533480965
Name: 19, dtype: object"
20,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,"id    1205774038859165696
Name: 20, dtype: object"
21,,,,,,,,,"id    1205767962159960064
Name: 21, dtype: object"
22,,,,,,,,,"id    1205699262815719424
Name: 22, dtype: object"
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"id    1205681919838630016
Name: 23, dtype: object"
24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"id    1205669338679779328
Name: 24, dtype: object"
25,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,"id    1205600986406019074
Name: 25, dtype: object"
26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"id    1205588465418522624
Name: 26, dtype: object"
