,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,id
0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,"id    1283551470705537024
Name: 0, dtype: object"
1,,,,,,,,,"id    1283551028705726466
Name: 1, dtype: object"
2,,,,,,,,,"id    1283550965925212161
Name: 2, dtype: object"
3,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,"id    1283549832523677697
Name: 3, dtype: object"
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1283549795211186179
Name: 4, dtype: object"
5,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,"id    1283549699295846408
Name: 5, dtype: object"
6,,,,,,,,,"id    1283548178160259073
Name: 6, dtype: object"
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1283547503581954048
Name: 7, dtype: object"
8,,,,,,,,,"id    1283547432446570498
Name: 8, dtype: object"
9,,,,,,,,,"id    1283546068660125696
Name: 9, dtype: object"
10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"id    1283545962284224512
Name: 10, dtype: object"
11,,,,,,,,,"id    1283545923935764487
Name: 11, dtype: object"
12,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,"id    1283544732904423424
Name: 12, dtype: object"
13,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,"id    1283544706119536642
Name: 13, dtype: object"
14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1283544571318861824
Name: 14, dtype: object"
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1283543684382724096
Name: 15, dtype: object"
16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1283543661947412486
Name: 16, dtype: object"
17,,,,,,,,,"id    1283540383889317888
Name: 17, dtype: object"
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1283540343162462210
Name: 18, dtype: object"
19,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,"id    1283539630923579392
Name: 19, dtype: object"
20,,,,,,,,,"id    1283539341352951810
Name: 20, dtype: object"
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"id    1283537053419020288
Name: 21, dtype: object"
22,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,"id    1283535403514048514
Name: 22, dtype: object"
23,0.3333333333333333,0.0,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,"id    1283535051448356864
Name: 23, dtype: object"
24,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,"id    1283534672513949696
Name: 24, dtype: object"
25,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.4,"id    1283533510444081152
Name: 25, dtype: object"
26,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,"id    1283533230877155329
Name: 26, dtype: object"
27,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"id    1283532816345518083
Name: 27, dtype: object"
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1283532785416900608
Name: 28, dtype: object"
29,,,,,,,,,"id    1283532481505955840
Name: 29, dtype: object"
30,,,,,,,,,"id    1283531172560228354
Name: 30, dtype: object"
