,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,id
0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,"id    1283543897881423877
Name: 0, dtype: object"
1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1283537876748324868
Name: 1, dtype: object"
2,,,,,,,,,"id    1283502577716469765
Name: 2, dtype: object"
3,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,"id    1283474140712841217
Name: 3, dtype: object"
4,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,"id    1283315887018258432
Name: 4, dtype: object"
5,,,,,,,,,"id    1283282972838264832
Name: 5, dtype: object"
6,,,,,,,,,"id    1283176653586235392
Name: 6, dtype: object"
7,,,,,,,,,"id    1283096715558416384
Name: 7, dtype: object"
8,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,"id    1283086338150084609
Name: 8, dtype: object"
9,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,"id    1283073717627760640
Name: 9, dtype: object"
10,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.5,"id    1283005849183510528
Name: 10, dtype: object"
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1282955064403914752
Name: 11, dtype: object"
12,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,"id    1282874971442814981
Name: 12, dtype: object"
13,,,,,,,,,"id    1282846033488338944
Name: 13, dtype: object"
14,0.25,0.25,0.0,0.5,0.0,0.0,0.0,0.0,"id    1282842089408081920
Name: 14, dtype: object"
15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1282826824045789184
Name: 15, dtype: object"
16,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,"id    1282699019207143425
Name: 16, dtype: object"
17,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,"id    1282576444556750850
Name: 17, dtype: object"
18,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,"id    1282572991038136320
Name: 18, dtype: object"
19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1282550911466905600
Name: 19, dtype: object"
20,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.0,"id    1282494286567596034
Name: 20, dtype: object"
21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1282404291077001216
Name: 21, dtype: object"
22,0.5,0.0,0.25,0.25,0.0,0.0,0.0,0.0,"id    1282375665061449734
Name: 22, dtype: object"
