,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,id
0,,,,,,,,,"id    1206339572919160838
Name: 0, dtype: object"
1,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,"id    1206256053119332354
Name: 1, dtype: object"
2,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,"id    1206212644140662790
Name: 2, dtype: object"
3,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.2,"id    1206105933257961472
Name: 3, dtype: object"
4,0.25,0.25,0.0,0.5,0.0,0.0,0.0,0.0,"id    1206020177546108928
Name: 4, dtype: object"
5,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,"id    1205740410926256130
Name: 5, dtype: object"
6,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,"id    1205693963220459520
Name: 6, dtype: object"
7,,,,,,,,,"id    1205675587236507648
Name: 7, dtype: object"
8,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,"id    1205577315205419008
Name: 8, dtype: object"
9,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,"id    1205526371843346432
Name: 9, dtype: object"
10,0.5,0.0,0.25,0.25,0.0,0.0,0.0,0.0,"id    1205525325272104960
Name: 10, dtype: object"
11,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,"id    1205512907657580546
Name: 11, dtype: object"
12,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,"id    1205468610052927494
Name: 12, dtype: object"
13,,,,,,,,,"id    1205392804110839808
Name: 13, dtype: object"
14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"id    1205339370527633410
Name: 14, dtype: object"
15,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,"id    1205275620839739393
Name: 15, dtype: object"
16,0.14285714285714285,0.0,0.42857142857142855,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,"id    1205257875846660096
Name: 16, dtype: object"
17,,,,,,,,,"id    1205239153421627403
Name: 17, dtype: object"
18,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,"id    1205172244231675904
Name: 18, dtype: object"
19,,,,,,,,,"id    1205156114389712896
Name: 19, dtype: object"
20,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,"id    1205146372456026113
Name: 20, dtype: object"
21,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.2,"id    1205134189345026050
Name: 21, dtype: object"
22,,,,,,,,,"id    1205123484780679168
Name: 22, dtype: object"
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"id    1205096170072215553
Name: 23, dtype: object"
24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1205005440884457472
Name: 24, dtype: object"
25,,,,,,,,,"id    1204838259165151232
Name: 25, dtype: object"
