,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,id
0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,"id    1206337381873410055
Name: 0, dtype: object"
1,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,"id    1206266413918380034
Name: 1, dtype: object"
2,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,"id    1206253235222261764
Name: 2, dtype: object"
3,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,"id    1206229846826733568
Name: 3, dtype: object"
4,0.0,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0,0.2857142857142857,"id    1206024173128056833
Name: 4, dtype: object"
5,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,"id    1206000635985969157
Name: 5, dtype: object"
6,0.2,0.0,0.2,0.2,0.0,0.2,0.2,0.0,"id    1205909483999899649
Name: 6, dtype: object"
7,0.375,0.0,0.25,0.125,0.0,0.25,0.0,0.0,"id    1205746603543474176
Name: 7, dtype: object"
8,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857,0.14285714285714285,0.0,"id    1205742481419096066
Name: 8, dtype: object"
9,,,,,,,,,"id    1205582057688227840
Name: 9, dtype: object"
10,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,"id    1205222227345657857
Name: 10, dtype: object"
11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"id    1204739655633133569
Name: 11, dtype: object"
12,0.2,0.0,0.2,0.2,0.0,0.2,0.2,0.0,"id    1204567014313988096
Name: 12, dtype: object"
13,0.4,0.0,0.4,0.0,0.2,0.0,0.0,0.0,"id    1204539529862033409
Name: 13, dtype: object"
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"id    1204521109590167552
Name: 14, dtype: object"
15,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,"id    1204497149314162689
Name: 15, dtype: object"
16,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,"id    1204456673894637575
Name: 16, dtype: object"
17,0.2,0.0,0.2,0.2,0.0,0.4,0.0,0.0,"id    1204400690971521025
Name: 17, dtype: object"
